date,open,high,low,close,volume,vwap
2022-12-31,16599.98,16634.42,16462.49,16530.35,11239186456,16556.81
2023-01-01,16531.83,16621,16490,16611.58,9244361700,16563.6025
2023-01-02,16611.9,16789.99,16542.52,16666.95,12097775227,16652.84
2023-01-03,16666.86,16772.3,16600,16669.47,13903079207,16677.1575
2023-01-04,16668.95,16988,16645.87,16844.42,18421743322,16786.81
2023-01-05,16844.4,16872.13,16750.07,16825.69,13692758566,16823.0725
2023-01-06,16825.53,17027.11,16670.82,16948.06,14413662913,16867.88
2023-01-07,16948,16977.76,16903.58,16942.37,7714767174,16942.9275
2023-01-08,16942.37,17167.52,16910.41,17125.18,9768827914,17036.37
2023-01-09,17125.17,17396.25,17102.97,17177.98,18624736866,17200.5925
2023-01-10,17177.94,17494.37,17145.1,17443.5,15808338949,17315.2275
2023-01-11,17443.5,17998,17315.08,17944.27,18372283782,17675.2125
2023-01-12,17944.15,19115.85,17904.83,18847.75,34971338710,18453.145
2023-01-13,18847.77,20000,18714.8,19934.88,29225029694,19374.3625
2023-01-14,19934.07,21321.98,19893.25,20957.02,38967784639,20526.58
2023-01-15,20956.2,21057.3,20560.16,20879.7,19298407543,20863.34
2023-01-16,20879.67,21465.62,20611.45,21187.5,26792494050,21036.06
2023-01-17,21191.46,21595,20844.73,21136.33,24999983362,21191.88
2023-01-18,21135.01,21650.21,20370.01,20674.29,30005625418,20957.38
2023-01-19,20674.03,21197,20656.52,21084.22,21152848261,20902.9425
2023-01-20,21084.05,22754.73,20865.64,22669.81,28799154319,21843.5575
2023-01-21,22671.09,23375.6,22432.45,22789.37,32442278429,22817.1275
2023-01-22,22789.34,23082.82,22298.15,22714.87,24746386230,22721.295
2023-01-23,22714.81,23180.55,22500.01,22920.29,26518700512,22828.915
2023-01-24,22920.67,23165.56,22460.17,22636.17,26405069715,22795.6425
2023-01-25,22636.19,23824.66,22326.24,23062.36,30685366709,22962.3625
2023-01-26,23062.36,23287.38,22853.61,23010.47,26357839322,23053.455
2023-01-27,23011.37,23511.9,22540.76,23084.4,25383335641,23037.1075
2023-01-28,23084.38,23196.99,22884,23028.95,14712928379,23048.58
2023-01-29,23029.56,23966,22974.75,23745.8,27423687259,23429.0275
2023-01-30,23744.34,23802.99,22500,22836.03,27205595568,23220.84
2023-01-31,22836.03,23313.23,22719.68,23128.86,22837828665,22999.45
2023-02-01,23127.15,23813.57,22760,23735.97,26683255504,23359.1725
2023-02-02,23735.97,24262.18,23367.87,23493.84,32066936882,23714.965
2023-02-03,23497.29,23720,23208.01,23433.54,27083066007,23464.71
2023-02-04,23433.47,23589.67,23257.71,23328.87,15639298538,23402.43
2023-02-05,23329.47,23433.2,22758.01,22936.34,19564262605,23114.255
